 Copyright (C) 1995-2014 - All Rights Reserved
 University Corporation for Atmospheric Research
 NCAR Command Language Version 6.2.0
 The use of this software is governed by a License Agreement.
 See http://www.ncl.ucar.edu/ for more details.


Variable: T (file variable)
Type: float
Total Size: 22915728 bytes
            5728932 values
Number of Dimensions: 4
Dimensions and sizes:	[Time | 33] x [bottom_top | 34] x [south_north | 69] x [west_east | 74]
Coordinates: 
Number Of Attributes: 6
  FieldType :	104
  MemoryOrder :	XYZ
  description :	perturbation potential temperature (theta-t0)
  units :	K
  stagger :	
  coordinates :	XLONG XLAT
(0,0,4,68)	6.288422
(0,0,4,69)	6.091034
(0,0,4,70)	5.990112
(0,0,4,71)	5.884094
(0,0,4,72)	5.745941
(0,0,4,73)	5.736267
(0,0,5,0)	11.0907
(0,0,5,1)	11.28201
(0,0,5,2)	13.38873
(0,0,5,3)	13.20538
(0,0,5,4)	13.01141
(0,0,5,5)	12.71863
(0,0,5,6)	11.32455
(0,0,5,7)	12.28101
(0,0,5,8)	11.07062
(0,0,5,9)	10.24399
(0,0,5,10)	10.45825
(0,0,5,11)	10.63245
(0,0,5,12)	9.455902
(0,0,5,13)	9.95105
(0,0,5,14)	10.82089
(0,0,5,15)	10.82065
(0,0,5,16)	10.98862
(0,0,5,17)	11.05865
(0,0,5,18)	10.42325
(0,0,5,19)	10.1806
(0,0,5,20)	9.748596
(0,0,5,21)	9.4758
(0,0,5,22)	8.483795
(0,0,5,23)	8.768829
(0,0,5,24)	9.06192
(0,0,5,25)	9.015076
(0,0,5,26)	8.374237
(0,0,5,27)	8.202087
(0,0,5,28)	8.004791
(0,0,5,29)	8.165833
(0,0,5,30)	8.097137
(0,0,5,31)	7.658142
(0,0,5,32)	6.517853
(0,0,5,33)	6.006287
(0,0,5,34)	6.109406
(0,0,5,35)	5.819763
(0,0,5,36)	5.297913
(0,0,5,37)	5.063599
(0,0,5,38)	4.780396
(0,0,5,39)	4.509827
(0,0,5,40)	4.20575
(0,0,5,41)	4.030121
(0,0,5,42)	3.930603
(0,0,5,43)	3.068939
(0,0,5,44)	3.338684
(0,0,5,45)	3.378845
(0,0,5,46)	3.113434
(0,0,5,47)	2.761505
(0,0,5,48)	2.70871
(0,0,5,49)	2.783722
(0,0,5,50)	2.962128
(0,0,5,51)	2.965729
(0,0,5,52)	2.617432
(0,0,5,53)	2.060669
(0,0,5,54)	1.861572
(0,0,5,55)	2.428833
(0,0,5,56)	3.156158
(0,0,5,57)	4.048431
(0,0,5,58)	4.64212
(0,0,5,59)	5.011627
(0,0,5,60)	5.290039
(0,0,5,61)	5.725647
(0,0,5,62)	6.355591
(0,0,5,63)	7.012787
(0,0,5,64)	6.833405
(0,0,5,65)	7.063995
(0,0,5,66)	6.557404
(0,0,5,67)	6.074127
(0,0,5,68)	6.013855
(0,0,5,69)	4.24649
(0,0,5,70)	4.474762
(0,0,5,71)	5.310822
(0,0,5,72)	5.768555
(0,0,5,73)	5.59845
(0,0,6,0)	13.43634
(0,0,6,1)	13.91202
(0,0,6,2)	13.59314
(0,0,6,3)	11.54694
(0,0,6,4)	13.11963
(0,0,6,5)	13.37607
(0,0,6,6)	11.26767
(0,0,6,7)	12.59705
(0,0,6,8)	11.58743
(0,0,6,9)	11.0162
(0,0,6,10)	10.55743
(0,0,6,11)	10.36365
(0,0,6,12)	9.617828
(0,0,6,13)	10.44342
(0,0,6,14)	10.90939
(0,0,6,15)	10.95822
(0,0,6,16)	11.19785
(0,0,6,17)	11.25873
(0,0,6,18)	10.84393
(0,0,6,19)	10.05896
(0,0,6,20)	9.652557
(0,0,6,21)	9.486603
(0,0,6,22)	9.604095
(0,0,6,23)	9.474182
(0,0,6,24)	9.213379
(0,0,6,25)	8.91922
(0,0,6,26)	8.211731
(0,0,6,27)	8.077911
(0,0,6,28)	7.810211
(0,0,6,29)	7.796783
(0,0,6,30)	7.635803
(0,0,6,31)	5.917236
(0,0,6,32)	6.040436
(0,0,6,33)	5.682892
(0,0,6,34)	5.358765
(0,0,6,35)	5.054413
(0,0,6,36)	4.586487
(0,0,6,37)	4.208496
(0,0,6,38)	3.981903
(0,0,6,39)	3.85849
(0,0,6,40)	3.774384
(0,0,6,41)	3.710632
(0,0,6,42)	3.624725
(0,0,6,43)	3.591064
(0,0,6,44)	3.401642
(0,0,6,45)	3.311676
(0,0,6,46)	2.809509
(0,0,6,47)	2.296295
(0,0,6,48)	2.381714
(0,0,6,49)	2.591888
